"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 15 17:03:55 VET 2025","Tue Jul 15 17:05:30 VET 2025","94473","","","","","","Registrar usuario con licencia valida resultado registro exitoso -- @1.1 ",""
"passed","Tue Jul 15 17:28:37 VET 2025","Tue Jul 15 17:29:45 VET 2025","67642","","","","","","Login usuario con error inesperado -- @1.1 ",""
"passed","Tue Jul 15 17:19:26 VET 2025","Tue Jul 15 17:22:16 VET 2025","170137","","","","","","Login llenado de encuesta de salud y comprobar alertar cuando los campos son valores invalidos -- @1.1 ",""
"passed","Tue Jul 15 17:27:29 VET 2025","Tue Jul 15 17:28:37 VET 2025","68550","","","","","","Login usuario inactivo por confirmacion de correo para acceso exitoso -- @1.1 ",""
"passed","Tue Jul 15 17:10:01 VET 2025","Tue Jul 15 17:11:32 VET 2025","91393","","","","","","Registrar usuario con licencia valida resultado registro exitoso -- @1.5 ",""
"passed","Tue Jul 15 17:05:30 VET 2025","Tue Jul 15 17:07:00 VET 2025","89827","","","","","","Registrar usuario con licencia valida resultado registro exitoso -- @1.2 ",""
"passed","Tue Jul 15 17:08:30 VET 2025","Tue Jul 15 17:10:01 VET 2025","90951","","","","","","Registrar usuario con licencia valida resultado registro exitoso -- @1.4 ",""
"passed","Tue Jul 15 18:53:38 VET 2025","Tue Jul 15 18:54:59 VET 2025","80963","","","","","","Registrar usuario con un correo ya en uso -- @1.1 ",""
"passed","Tue Jul 15 17:26:20 VET 2025","Tue Jul 15 17:27:29 VET 2025","68720","","","","","","Login con credenciales invalidas acceso fallido -- @1.1 ",""
"passed","Tue Jul 15 17:14:24 VET 2025","Tue Jul 15 17:15:48 VET 2025","84003","","","","","","Registrar usuario con licencia invalido resultado registro fallido -- @1.1 ",""
"passed","Tue Jul 15 17:11:32 VET 2025","Tue Jul 15 17:12:57 VET 2025","85116","","","","","","Registrar usuario en empresa B2C resultado registro exitoso -- @1.1 ",""
"passed","Tue Jul 15 17:22:16 VET 2025","Tue Jul 15 17:25:10 VET 2025","173359","","","","","","Login llenado de encuesta de salud y comprobar alertar cuando los valores superan el limite establecido -- @1.1 ",""
"passed","Tue Jul 15 17:30:52 VET 2025","Tue Jul 15 17:32:01 VET 2025","69032","","","","","","Login validar alerta de compañia inactiva -- @1.1 ",""
"passed","Tue Jul 15 17:18:04 VET 2025","Tue Jul 15 17:19:26 VET 2025","82329","","","","","","Login llenado de encuesta de salud y comprobar alertar cuando los campos son null o vacios -- @1.1 ",""
"passed","Tue Jul 15 17:07:00 VET 2025","Tue Jul 15 17:08:30 VET 2025","90395","","","","","","Registrar usuario con licencia valida resultado registro exitoso -- @1.3 ",""
"passed","Tue Jul 15 17:25:10 VET 2025","Tue Jul 15 17:26:20 VET 2025","70442","","","","","","Login con credenciales de usuario validas para acceso exitoso -- @1.1 ",""
"broken","Tue Jul 15 17:35:52 VET 2025","Tue Jul 15 17:37:22 VET 2025","89421","","","","","","Enviar mensaje sugerido exitosamente en chat ana -- @1.1 ",""
"broken","Tue Jul 15 17:34:27 VET 2025","Tue Jul 15 17:35:52 VET 2025","85328","","","","","","Enviar mensaje exitosamente en chat ana -- @1.1 ",""
"passed","Tue Jul 15 17:32:01 VET 2025","Tue Jul 15 17:33:09 VET 2025","67709","","","","","","Login validar alerta de licencia inactiva -- @1.1 ",""
"passed","Tue Jul 15 17:29:45 VET 2025","Tue Jul 15 17:30:52 VET 2025","66892","","","","","","Login validar alerta de usuario inactivo -- @1.1 ",""
"passed","Tue Jul 15 18:49:59 VET 2025","Tue Jul 15 18:51:39 VET 2025","100257","","","","","","Sincronizacion de datos de salud desde el home, mostrando la data exitosamente -- @1.1 ",""
"passed","Tue Jul 15 17:15:48 VET 2025","Tue Jul 15 17:18:04 VET 2025","135316","","","","","","Login completar encuesta de salud exitosamente -- @1.1 ",""
